KDev,Ra,Rz,Ra_pdz,Rz_pdz,CGrits,FnSteady,FtSteady,MaxStress,MeanStress,Cutting,Plughing,Rubbing,Inactive,Cutting/%,Plughing/%,Rubbing/%,Inactive/%
0,0.000632149380487271,0.0115151104957523,3.97549919483396,28.0409009774766,833.333333333333,13.7157235074253,5.63110677139664,20.9602329949121,2.40281316516429,35.6666666666667,1784.66666666667,124.333333333333,1290.66666666667,0.0110247142698942,0.551614268494016,0.0384310651855416,0.398929952050549
0.2,0.000631179807142258,0.0202563512513739,4.25998891522828,33.5928680773967,833,13.8528771558416,5.70954485327911,21.5509638626104,2.36366019896168,34.3333333333333,1795.66666666667,122.666666666667,1287.33333333333,0.0105969996848342,0.554218900387788,0.0378593410409853,0.397324758886392
0.6,0.000650815539831477,0.0203011475918651,4.53766891237375,34.4505769682515,833.333333333333,14.2110981142055,5.8059900653561,21.3976361013899,2.39017385107127,34.6666666666667,1796.66666666667,115,1292,0.0107047696307038,0.554812415433121,0.0355123588247711,0.398970456111405
1,0.000690856212294473,0.0280615247550594,4.12578366612875,37.7075913364536,833,15.0553509327783,6.16737529497946,21.3894953105418,2.43033031763675,37.6666666666667,1800.66666666667,111.333333333333,1288,0.0116344507480806,0.556160818315635,0.0343873906358414,0.397817340300443
2,0.000851117506853948,0.0370333157927754,4.29196034923076,37.5955185741038,832,16.7488809903603,6.92598568997961,21.2996979447387,2.43254050799656,66.6666666666667,1777.66666666667,110.666666666667,1280,0.0206098787910263,0.549508259989837,0.0342094202477946,0.395672440971342
3,0.00108163021237391,0.0545999189997968,4.26888107096994,38.1684043117817,833.666666666667,17.8466779610033,7.40595583748601,21.3052856445806,2.40455253346707,108,1749.66666666667,103,1278.66666666667,0.0333414099486308,0.540131058253295,0.0317961343915412,0.394731397406533
