RowGap,Ra,Rz,Ra_pdz,Rz_pdz,CGrits,FnSteady,FtSteady,MaxStress,MeanStress,Cutting,Plughing,Rubbing,Inactive,Cutting/%,Plughing/%,Rubbing/%,Inactive/%
10,0.000370045960598018,0.00829220312435316,3.47685618261256,28.1112634920524,1110.66666666667,14.2103792591928,5.825580145823,18.9217784414704,2.19610396857002,34.3333333333333,2357.66666666667,202.333333333333,1720.66666666667,0.00795667202102449,0.546389341038267,0.0468906057098304,0.398763381230878
15,0.000491594714031962,0.011635512977979,4.05964726306463,31.1861222807976,951.333333333333,13.3484560581584,5.43814997255848,19.742898508609,2.29250042021419,34,2037.66666666667,156.333333333333,1467.33333333333,0.00920085544093446,0.551416790800405,0.0423057053372451,0.397076648421416
20,0.000632149380487271,0.0115151104957523,3.97549919483396,28.0409009774766,833.333333333333,13.7157235074253,5.63110677139664,20.9602329949121,2.40281316516429,35.6666666666667,1784.66666666667,124.333333333333,1290.66666666667,0.0110247142698942,0.551614268494016,0.0384310651855416,0.398929952050549
30,0.000967098963536843,0.0168054039018184,4.85848971354759,33.3644850858446,666.333333333333,13.5453515589252,5.57573517440457,21.4743283371788,2.51044910481656,34.3333333333333,1444.33333333333,87.3333333333333,1022.66666666667,0.0132628777853744,0.557944752353063,0.0337374392470266,0.395054930614536
40,0.0013785603702242,0.0244449546868193,4.2594106676598,29.5805961403628,555,12.9061246092147,5.33319460155201,24.0464024932729,2.59759607451828,58.6666666666667,1191.33333333333,59.3333333333333,846.666666666667,0.0272120474178207,0.552566223832267,0.027518823995219,0.392702904754693
