theta,Ra,Rz,Ra_pdz,Rz_pdz,CGrits,FnSteady,FtSteady,MaxStress,MeanStress,Cutting,Plughing,Rubbing,Inactive,Cutting/%,Plughing/%,Rubbing/%,Inactive/%
10,0.00295039926032337,0.0992318249261162,4.75224331888453,34.7692635281024,833.333333333333,21.052125058866,8.90830129617602,19.3671773152309,2.21925304252787,278.666666666667,1579.66666666667,97,1281.33333333333,0.0861100748127509,0.488050923562164,0.0299593916751457,0.395879609949939
20,0.00224641295841143,0.0477391953640005,4.78927095313241,36.6342420987973,833.666666666667,22.0779357241294,9.33341246339339,20.9512603209829,2.40925498938183,286,1576.33333333333,95.3333333333333,1287.33333333333,0.0881388749388602,0.48577059981603,0.029378451822414,0.396712073422695
30,0.00238417948921444,0.0875852293581206,5.12072768764185,38.1532701563189,830.666666666667,20.9176199963902,8.75642745339952,18.9654360265197,2.24814515059916,233.333333333333,1623,93.3333333333333,1279,0.0722427700207177,0.502703562309364,0.0289103618675886,0.396143305802329
40,0.00174122499630463,0.0464376839928562,4.55187730452089,37.8281757969673,833,20.5824979447897,8.5472424697656,21.2398147733261,2.40068413853773,256.666666666667,1614.33333333333,86.6666666666667,1277.33333333333,0.0793383653918629,0.499030993453057,0.0267832409215591,0.394847400233521
50,0.0011347319394144,0.0372095188913626,4.86487064545452,35.8363924577261,833,19.9978175206166,8.23197858571842,21.0032733093964,2.39704122036493,126.666666666667,1750.33333333333,83,1278.33333333333,0.0391150254250878,0.540504089128775,0.025630157544015,0.394750727902122
55,0.000780479296081387,0.0297894635796947,4.33835032006945,32.9177119072189,832.666666666667,20.2075310074153,8.35978133821303,21.3711383676677,2.43020545096708,84.3333333333333,1784,91.3333333333333,1276.66666666667,0.0260571016373839,0.551242028957586,0.0282210966790977,0.394479772725932
60,0.000632149380487271,0.0115151104957523,3.97549919483396,28.0409009774766,833.333333333333,13.7157235074253,5.63110677139664,20.9602329949121,2.40281316516429,35.6666666666667,1784.66666666667,124.333333333333,1290.66666666667,0.0110247142698942,0.551614268494016,0.0384310651855416,0.398929952050549
65,0.000766705504938427,0.00503856861810921,3.26687716510185,28.4429533187333,833.666666666667,14.8414946713416,6.10238841610514,20.4745248661901,2.36245788568352,30,1806.66666666667,108.333333333333,1292.33333333333,0.00926690065815884,0.558071718969246,0.0334639146083903,0.399197465764204
70,0.00100085720306734,0.00636797215593769,2.47068387216688,22.3343566995668,833.666666666667,16.9266167299317,6.98937739455412,20.9154802643986,2.3959089315009,32.6666666666667,1818,101.333333333333,1287.66666666667,0.0100833881782269,0.561169292895994,0.0312787497183936,0.397468569207385
75,0.00145878497497147,0.00899301301037466,1.84580141983667,18.9536915006231,833.666666666667,19.5691342299181,8.01059464600343,21.8737281562808,2.43036703679455,28.6666666666667,1847.66666666667,83,1281,0.00884730115532504,0.570208518045175,0.0256158178029821,0.395328362996517
80,0.00262946813624202,0.0152258746503827,1.84814315676454,15.735913051337,833.333333333333,25.9670201797114,10.6600925353457,21.2851952617382,2.39293461509025,80.3333333333333,1821,66.3333333333333,1270,0.0248120146856554,0.562442385855821,0.020488546330385,0.392257053128139
