FilletMode,Ra,Rz,Ra_pdz,Rz_pdz,CGrits,FnSteady,FtSteady,MaxStress,MeanStress,Cutting,Plughing,Rubbing,Inactive,Cutting/%,Plughing/%,Rubbing/%,Inactive/%
0,0.000632149528498299,0.0115151105184789,3.97549919471213,28.0409009758464,833.333333333333,13.7157235079102,5.63110677125332,20.9602329963772,2.40281316517193,35.6666666666667,1784.66666666667,124.333333333333,1290.66666666667,0.011024714332478,0.551614268498037,0.0384310651030589,0.398929952066427
1,0.0027177422513779,0.0634239526567898,4.06381060028043,32.7435950308839,833.333333333333,25.2175103199537,10.4400291863973,20.7314077060714,2.40963020803426,248,1651,70,1269.33333333333,0.0765819887947826,0.509830015814028,0.021616135440323,0.391971859950866
2,0.00492107621659822,0.0780729273821508,4.06986448918555,34.4079930468802,833.333333333333,24.984477272535,10.4037201979444,19.696724840248,2.35812117885291,328,1570.66666666667,76.3333333333333,1268.33333333333,0.101100628971793,0.484305280782534,0.0235355549838774,0.391058535261795
