Omega,Rarea,Ra,Rz,Ra_pdz,Rz_pdz,CGrits,FnSteady,FtSteady,MaxStress,MeanStress,Cutting,Plughing,Rubbing,Inactive,Cutting/%,Plughing/%,Rubbing/%,Inactive/%
3,0.2,0.0185792835290742,0.634665594831706,4.73464981765596,33.6504738125205,832.666666666667,21.8715655212728,10.211606866836,17.6493661604254,2.00766316587471,1153.33333333333,752,52.6666666666667,1281,0.356067927424429,0.232174364694839,0.0162617975029817,0.39549591037775
5,0.2,0.00917789779199431,0.400192402010586,4.01284181613918,31.0079030460943,833,20.044676069124,9.09588499140814,18.1243063867702,2.13928177929769,1027.66666666667,907.666666666667,55.3333333333333,1244.66666666667,0.317634000242012,0.280551251225521,0.0171047079703154,0.384710040562152
7,0.2,0.00821963760648295,0.324428690632529,3.99689250553154,31.6045733290967,832.333333333333,19.0342775600337,8.52152156413593,19.1576803730975,2.20890903156177,985.333333333333,947.666666666667,56,1250,0.304210674448556,0.292582382274951,0.0172881090480008,0.385918834228492
9,0.2,0.00877586140090968,0.368465751133975,4.08910876202065,32.6219912753737,833.666666666667,20.30997966598,9.26163591533838,18.7991822932565,2.16918822918556,970.666666666667,966.666666666667,56.6666666666667,1251,0.299126623662658,0.297893572801007,0.0174630843547127,0.385516719514955
15,0.2,0.00695576985541569,0.217011903480263,3.78723758344823,32.7987512196253,832.666666666667,18.4083531578424,8.15318850203753,19.1723207973328,2.1693120153946,950.666666666667,980.333333333333,55.3333333333333,1250.33333333333,0.293729702560284,0.302876081703156,0.0170948490480008,0.386299367021893
25,0.2,0.00667906340762672,0.205788268587007,3.80632985346308,30.5818504104051,832.666666666667,18.4004437533609,8.15067221421133,18.8700665134929,2.17924021327064,923,1012.66666666667,51,1249.66666666667,0.285185570799423,0.312917600938157,0.0157585909872191,0.386138236941868
3,0.4,0.00544948828062863,0.228626275822402,4.56024952730195,34.1162789770711,833.333333333333,23.9925410946029,10.460380804553,20.5675226512311,2.29332171845684,752.333333333333,1137,64,1287.66666666667,0.23213264455254,0.350815454884433,0.0197466828928645,0.397305217670162
5,0.4,0.00267639429543387,0.128564340475774,4.99819085824578,36.197427037102,832.666666666667,21.3285394785476,9.01760442308182,21.2220545949056,2.41132350357638,495,1409,65.3333333333333,1263,0.153130007599134,0.435919681352098,0.0202121096366636,0.390738201745438
7,0.4,0.00207975288309747,0.087143932937397,3.89405274705735,32.1950814817421,833,19.6966998490115,8.12283680141688,20.8483905641024,2.39147563239307,382,1514.66666666667,66,1271.66666666667,0.118151220280702,0.468267821250774,0.020403292131063,0.393177666670795
9,0.4,0.00214870764785053,0.108998852975013,3.96491653046799,31.1062329570046,834,20.0845605443584,8.37107486078497,20.6434833822811,2.3795092493586,381.333333333333,1527.33333333333,66.3333333333333,1268.66666666667,0.117567016254751,0.470865880794042,0.0204481655634309,0.391118937387776
15,0.4,0.00184551085680003,0.0682555484981367,3.69868498814901,31.5769440167437,832.666666666667,18.9905672190695,7.80824915865455,21.5030056455311,2.41636234074939,314.333333333333,1581.66666666667,72,1268,0.097151530637149,0.488759975947136,0.0222489578690733,0.391839535879975
25,0.4,0.00183950222495045,0.0852687095658182,4.63714978414194,34.9634025518232,833,19.2923440190946,7.98346949783636,21.0541163491081,2.41709983205498,324,1573,70.6666666666667,1274.33333333333,0.099930907418079,0.485201797614278,0.0217977146836158,0.393069580284027
3,0.6,0.00239181418766431,0.094448393410587,4.06452374999924,34.4774025823718,833,24.2831366752196,10.2723209239215,20.6104683231156,2.3560705832589,427.666666666667,1458.33333333333,70.3333333333333,1287.33333333333,0.131847735503238,0.44959378182619,0.021683117248227,0.396875365089012
5,0.6,0.000920313182961074,0.0565950209728721,3.78264488559899,32.1834723863502,833,18.396428352748,7.52958403166647,21.2820887014622,2.40001083097099,95.6666666666667,1778.33333333333,85,1279.66666666667,0.0295291663355946,0.549105488799979,0.0262451875751876,0.395120157622572
7,0.6,0.000777335699361683,0.0266285652898405,4.74367588451682,32.7012890897345,833.333333333333,16.5019442085139,6.74375755280957,21.2081609228534,2.39567732274348,53.3333333333333,1813.66666666667,96,1277,0.0164604648402221,0.559774376296525,0.0296288116765371,0.394136346853383
9,0.6,0.000740743691216607,0.0282194382100163,4.43045656880028,33.7670444106586,833.333333333333,15.9076957410318,6.52158843772949,21.5264950236648,2.45795609201276,50.3333333333333,1800.66666666667,107.666666666667,1278,0.0155503042572665,0.556335053940425,0.0332647290841064,0.394849912051536
15,0.6,0.000712320799918517,0.0233562180745372,4.41832444357675,34.1254946308462,833,14.6472976841517,5.97853525304001,21.307789708516,2.43194644896924,34.6666666666667,1814.33333333333,104,1286.66666666667,0.0107006643408367,0.560039610060952,0.0321028226156851,0.397156902982526
25,0.6,0.000697705754512029,0.0228934045709887,4.07017267638606,34.7725484066296,833,14.6431171084776,5.98896586108037,20.7311167143407,2.4156467628502,37,1806.66666666667,113.333333333333,1284,0.0114164251063085,0.557440510546465,0.0349690272307296,0.396174037116497
3,0.8,0.00140096933810311,0.0634609845818032,4.31118036245755,33.9153899606867,833.666666666667,21.5485623594874,8.94539371438194,20.6314381417525,2.37888107794698,150,1705.66666666667,96,1290,0.0462742616569081,0.526168622834104,0.0296147288423215,0.397942386666667
5,0.8,0.000612008263320702,0.0109239705174799,3.72187056406544,27.5444905005946,833.666666666667,14.0145080480402,5.71298668526418,21.1449523134108,2.40127807320279,31.6666666666667,1792.33333333333,125.333333333333,1290,0.0097755695264836,0.553303082082999,0.0386913272047722,0.398230020519078
7,0.8,0.000592920711265997,0.00388861143384202,4.26406341132722,30.6211555587092,833.333333333333,13.3932470004713,5.43255132872226,20.946951396113,2.38810228406947,34.3333333333333,1790.33333333333,121.666666666667,1294,0.0105960824016039,0.552515941378367,0.0375480775907876,0.399339898629241
9,0.8,0.000587987772154582,0.00385204573954379,3.90525745532046,29.2345865862757,833.333333333333,13.9426405660257,5.70608301854554,21.8292286964881,2.39285313488095,36,1789,125.666666666667,1288.33333333333,0.0111139261119703,0.552329214567481,0.0387987514952057,0.397758107492009
15,0.8,0.000582163176604812,0.00381388008188703,4.51033265629839,31.3839091764859,832.333333333333,13.8076754533788,5.64324864141667,21.5934075247425,2.40333897763335,33.3333333333333,1781.66666666667,126.666666666667,1292.33333333333,0.0103074801042312,0.550917822125903,0.0391661277698658,0.399608570333333
